attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
39595,Toronto Blue Jays,2,6,1,https://www.baseball-reference.com/boxes/SEA/SEA201609210.shtml,"Wednesday, September 21, 2016",,: 4:23,"Day Game, on grass",Seattle Mariners,0,6,2,"<!--  
    
Umpires: HP - Mark Ripperger, 1B - Jerry Meals, 2B - Chris Conroy, 3B - Paul Nauert.Time of Game: 4:23.
Attendance: 39,595.
Field Condition: Unknown.
Start Time Weather: 61&deg; F, Wind 2mph in from Rightfield, Cloudy.

    

-->",Start Time: 12:41 p.m. Local, Safeco Field
22110,Arizona Diamondbacks,0,5,3,https://www.baseball-reference.com/boxes/SDN/SDN201609210.shtml,"Wednesday, September 21, 2016",,: 2:50,"Night Game, on grass",San Diego Padres,0,4,2,"<!--  
    
Umpires: HP - Chad Whitson, 1B - Alfonso Marquez, 2B - Larry Vanover, 3B - David Rackley.Time of Game: 2:50.
Attendance: 22,110.
Field Condition: Unknown.
Start Time Weather: 67&deg; F, Wind 9mph from Left to Right.

    

-->",Start Time: 6:11 p.m. Local, Petco Park
21703,Chicago White Sox,0,7,3,https://www.baseball-reference.com/boxes/PHI/PHI201609210.shtml,"Wednesday, September 21, 2016",,: 2:43,"Night Game, on grass",Philadelphia Phillies,1,10,8,"<!--  
    
Umpires: HP - Doug Eddings, 1B - Adam Hamari, 2B - Cory Blaser, 3B - Jeff Nelson.Time of Game: 2:43.
Attendance: 21,703.
Field Condition: Unknown.
Start Time Weather: 78&deg; F, Wind 6mph out to Centerfield.

    

-->",Start Time: 7:07 p.m. Local, Citizens Bank Park
11197,Houston Astros,1,9,6,https://www.baseball-reference.com/boxes/OAK/OAK201609210.shtml,"Wednesday, September 21, 2016",,: 3:13,"Day Game, on grass",Oakland Athletics,0,7,5,"<!--  
    
Umpires: HP - Clint Fagan, 1B - Mike Muchlinski, 2B - Mike Winters, 3B - Marty Foster.Time of Game: 3:13.
Attendance: 11,197.
Field Condition: Unknown.
Start Time Weather: 62&deg; F, Wind 13mph out to Rightfield, Cloudy.

    

-->",Start Time: 12:37 p.m. Local, Oakland-Alameda County Coliseum
32187,Atlanta Braves,0,9,4,https://www.baseball-reference.com/boxes/NYN/NYN201609210.shtml,"Wednesday, September 21, 2016",,: 3:17,"Night Game, on grass",New York Mets,2,7,3,"<!--  
    
Umpires: HP - Chris Segal, 1B - Brian Knight, 2B - Bill Miller, 3B - Tony Randazzo.Time of Game: 3:17.
Attendance: 32,187.
Field Condition: Unknown.
Start Time Weather: 80&deg; F, Wind 7mph in from Centerfield.

    

-->",Start Time: 7:10 p.m. Local, Citi Field
25482,Pittsburgh Pirates,0,9,4,https://www.baseball-reference.com/boxes/MIL/MIL201609210.shtml,"Wednesday, September 21, 2016",,: 2:51,"Night Game, on grass",Milwaukee Brewers,1,7,1,"<!--  
    
Umpires: HP - Jerry Layne, 1B - Hunter Wendelstedt, 2B - Toby Basner, 3B - Tripp Gibson.Time of Game: 2:51.
Attendance: 25,482.
Start Time Weather: 75&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:10 p.m. Local, Miller Park
17836,Washington Nationals,0,8,8,https://www.baseball-reference.com/boxes/MIA/MIA201609210.shtml,"Wednesday, September 21, 2016",,: 3:10,"Night Game, on grass",Miami Marlins,3,4,3,"<!--  
    
Umpires: HP - Stu Scheurwater, 1B - Tom Hallion, 2B - Dan Bellino, 3B - Phil Cuzzi.Time of Game: 3:10.
Attendance: 17,836.
Start Time Weather: 77&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:12 p.m. Local, Marlins Park
45983,San Francisco Giants,1,7,3,https://www.baseball-reference.com/boxes/LAN/LAN201609210.shtml,"Wednesday, September 21, 2016",,: 3:03,"Night Game, on grass",Los Angeles Dodgers,1,12,9,"<!--  
    
Umpires: HP - Manny Gonzalez, 1B - CB Bucknor, 2B - Jim Reynolds, 3B - Fieldin Culbreth.Time of Game: 3:03.
Attendance: 45,983.
Field Condition: Unknown.
Start Time Weather: 73&deg; F, Wind 3mph out to Rightfield, Sunny.

    

-->",Start Time: 7:10 p.m. Local, Dodger Stadium
26099,St. Louis Cardinals,2,8,1,https://www.baseball-reference.com/boxes/COL/COL201609210.shtml,"Wednesday, September 21, 2016",,: 2:43,"Day Game, on grass",Colorado Rockies,0,12,11,"<!--  
    
Umpires: HP - Chad Fairchild, 1B - James Hoye, 2B - Jim Wolf, 3B - Jim Joyce.Time of Game: 2:43.
Attendance: 26,099.
Field Condition: Unknown.
Start Time Weather: 80&deg; F, Wind 5mph out to Leftfield.

    

-->",Start Time: 1:13 p.m. Local, Coors Field
13888,Kansas City Royals,0,7,3,https://www.baseball-reference.com/boxes/CLE/CLE201609210.shtml,"Wednesday, September 21, 2016",,: 3:20,"Night Game, on grass",Cleveland Indians,0,13,4,"<!--  
    
Umpires: HP - Sam Holbrook, 1B - Paul Emmel, 2B - Scott Barry, 3B - Carlos Torres.Time of Game: 3:20.
Attendance: 13,888.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 12mph in from Rightfield, Sunny.

    

-->",Start Time: 7:11 p.m. Local, Progressive Field
40434,Cincinnati Reds,1,6,2,https://www.baseball-reference.com/boxes/CHN/CHN201609210.shtml,"Wednesday, September 21, 2016",,: 3:12,"Night Game, on grass",Chicago Cubs,1,15,9,"<!--  
    
Umpires: HP - Bill Welke, 1B - Andy Fletcher, 2B - Mike Estabrook, 3B - Ed Hickox.Time of Game: 3:12.
Attendance: 40,434.
Field Condition: Unknown.
Start Time Weather: 69&deg; F, Wind 3mph in from Leftfield.

    

-->",Start Time: 7:06 p.m. Local, Wrigley Field
20865,Boston Red Sox,0,6,5,https://www.baseball-reference.com/boxes/BAL/BAL201609210.shtml,"Wednesday, September 21, 2016",,: 2:55,"Night Game, on grass",Baltimore Orioles,3,4,1,"<!--  
    
Umpires: HP - Jordan Baker, 1B - Mark Wegner, 2B - Tim Timmons, 3B - Mike Everitt.Time of Game: 2:55.
Attendance: 20,865.
Field Condition: Unknown.
Start Time Weather: 79&deg; F, Wind 4mph in from Rightfield.

    

-->",Start Time: 7:10 p.m. Local, Oriole Park at Camden Yards
26520,Los Angeles Angels of Anaheim,0,8,4,https://www.baseball-reference.com/boxes/TEX/TEX201609200.shtml,"Tuesday, September 20, 2016",,: 3:22,"Night Game, on grass",Texas Rangers,1,12,5,"<!--  
    
Umpires: HP - Pat Hoberg, 1B - Quinn Wolcott, 2B - Greg Gibson, 3B - Kerwin Danley.Time of Game: 3:22.
Attendance: 26,520.
Field Condition: Unknown.
Start Time Weather: 94&deg; F, Wind 10mph in from Centerfield, Cloudy.

    

-->",Start Time: 7:08 p.m. Local, Globe Life Park in Arlington
12732,New York Yankees,1,10,5,https://www.baseball-reference.com/boxes/TBA/TBA201609200.shtml,"Tuesday, September 20, 2016",,: 2:49,"Night Game, on turf",Tampa Bay Rays,0,5,3,"<!--  
    
Umpires: HP - Bob Davidson, 1B - Dan Iassogna, 2B - Vic Carapazza, 3B - Laz Diaz.Time of Game: 2:49.
Attendance: 12,732.
Start Time Weather: 72&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:11 p.m. Local, Tropicana Field
33573,Toronto Blue Jays,0,14,10,https://www.baseball-reference.com/boxes/SEA/SEA201609200.shtml,"Tuesday, September 20, 2016",,: 3:33,"Night Game, on grass",Seattle Mariners,1,7,2,"<!--  
    
Umpires: HP - Paul Nauert, 1B - Mark Ripperger, 2B - Jerry Meals, 3B - Chris Conroy.Time of Game: 3:33.
Attendance: 33,573.
Field Condition: Unknown.
Start Time Weather: 61&deg; F, Wind 3mph in from Centerfield, Sunny.

    

-->",Start Time: 7:10 p.m. Local, Safeco Field
34319,Arizona Diamondbacks,0,4,2,https://www.baseball-reference.com/boxes/SDN/SDN201609200.shtml,"Tuesday, September 20, 2016",,: 2:57,"Night Game, on grass",San Diego Padres,1,4,5,"<!--  
    
Umpires: HP - David Rackley, 1B - Chad Whitson, 2B - Gabe Morales, 3B - Larry Vanover.Time of Game: 2:57.
Attendance: 34,319.
Field Condition: Wet.
Start Time Weather: 64&deg; F, Wind 8mph from Left to Right, Drizzle.

    

-->",Start Time: 8:20 p.m. Local, Petco Park
16096,Chicago White Sox,1,10,6,https://www.baseball-reference.com/boxes/PHI/PHI201609200.shtml,"Tuesday, September 20, 2016",,: 3:20,"Night Game, on grass",Philadelphia Phillies,0,12,7,"<!--  
    
Umpires: HP - Jeff Nelson, 1B - Doug Eddings, 2B - Adam Hamari, 3B - Mike DiMuro.Time of Game: 3:20.
Attendance: 16,096.
Field Condition: Unknown.
Start Time Weather: 78&deg; F, Wind 4mph out to Leftfield, Cloudy.

    

-->",Start Time: 7:07 p.m. Local, Citizens Bank Park
12139,Houston Astros,0,8,2,https://www.baseball-reference.com/boxes/OAK/OAK201609200.shtml,"Tuesday, September 20, 2016",,: 3:01,"Night Game, on grass",Oakland Athletics,0,3,1,"<!--  
    
Umpires: HP - Marty Foster, 1B - Clint Fagan, 2B - Mike Muchlinski, 3B - Mike Winters.Time of Game: 3:01.
Attendance: 12,139.
Field Condition: Unknown.
Start Time Weather: 61&deg; F, Wind 9mph out to Rightfield, Cloudy.

    

-->",Start Time: 7:07 p.m. Local, Oakland-Alameda County Coliseum
30761,Atlanta Braves,0,10,5,https://www.baseball-reference.com/boxes/NYN/NYN201609200.shtml,"Tuesday, September 20, 2016",,: 3:28,"Night Game, on grass",New York Mets,0,9,4,"<!--  
    
Umpires: HP - Tony Randazzo, 1B - Chris Segal, 2B - Brian Knight, 3B - Bill Miller.Time of Game: 3:28.
Attendance: 30,761.
Field Condition: Unknown.
Start Time Weather: 77&deg; F, Wind 9mph out to Leftfield.

    

-->",Start Time: 7:11 p.m. Local, Citi Field
23395,Detroit Tigers,0,11,8,https://www.baseball-reference.com/boxes/MIN/MIN201609200.shtml,"Tuesday, September 20, 2016",,: 2:46,"Night Game, on grass",Minnesota Twins,0,3,1,"<!--  
    
Umpires: HP - Adrian Johnson, 1B - Gary Cederstrom, 2B - Eric Cooper, 3B - Ryan Blakney.Time of Game: 2:46.
Attendance: 23,395.
Field Condition: Unknown.
Start Time Weather: 73&deg; F, Wind 7mph in from Centerfield, Cloudy.

    

-->",Start Time: 7:12 p.m. Local, Target Field
20829,Pittsburgh Pirates,2,13,6,https://www.baseball-reference.com/boxes/MIL/MIL201609200.shtml,"Tuesday, September 20, 2016",,: 3:08,"Night Game, on grass",Milwaukee Brewers,0,7,3,"<!--  
    
Umpires: HP - Tripp Gibson, 1B - Jerry Layne, 2B - Hunter Wendelstedt, 3B - Toby Basner.Time of Game: 3:08.
Attendance: 20,829.
Field Condition: Unknown.
Start Time Weather: 76&deg; F, Wind 10mph in from Centerfield, Cloudy.

    

-->",Start Time: 7:11 p.m. Local, Miller Park
17961,Washington Nationals,0,4,0,https://www.baseball-reference.com/boxes/MIA/MIA201609200.shtml,"Tuesday, September 20, 2016",,: 2:11,"Night Game, on grass",Miami Marlins,0,3,1,"<!--  
    
Umpires: HP - Phil Cuzzi, 1B - Stu Scheurwater, 2B - Tom Hallion, 3B - Dan Bellino.Time of Game: 2:11.
Attendance: 17,961.
Start Time Weather: 77&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:10 p.m. Local, Marlins Park
53621,San Francisco Giants,1,11,2,https://www.baseball-reference.com/boxes/LAN/LAN201609200.shtml,"Tuesday, September 20, 2016",,: 3:36,"Night Game, on grass",Los Angeles Dodgers,0,9,0,"<!--  
    
Umpires: HP - Fieldin Culbreth, 1B - Manny Gonzalez, 2B - CB Bucknor, 3B - Jim Reynolds.Time of Game: 3:36.
Attendance: 53,621.
Field Condition: Unknown.
Start Time Weather: 77&deg; F, Wind 6mph out to Rightfield, Cloudy.

    

-->",Start Time: 7:10 p.m. Local, Dodger Stadium
28665,St. Louis Cardinals,0,14,10,https://www.baseball-reference.com/boxes/COL/COL201609200.shtml,"Tuesday, September 20, 2016",,: 3:21,"Night Game, on grass",Colorado Rockies,1,12,5,"<!--  
    
Umpires: HP - Jim Joyce, 1B - Chad Fairchild, 2B - James Hoye, 3B - Nic Lentz.Time of Game: 3:21.
Attendance: 28,665.
Field Condition: Unknown.
Start Time Weather: 82&deg; F, Wind 6mph out to Rightfield.

    

-->",Start Time: 6:41 p.m. Local, Coors Field
13623,Kansas City Royals,1,6,1,https://www.baseball-reference.com/boxes/CLE/CLE201609200.shtml,"Tuesday, September 20, 2016",,: 2:45,"Night Game, on grass",Cleveland Indians,1,5,2,"<!--  
    
Umpires: HP - Carlos Torres, 1B - Bill Welke, 2B - Paul Emmel, 3B - Scott Barry.Time of Game: 2:45.
Attendance: 13,623.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 4mph in from Rightfield, Sunny.

    

-->",Start Time: 7:10 p.m. Local, Progressive Field
40586,Cincinnati Reds,0,7,1,https://www.baseball-reference.com/boxes/CHN/CHN201609200.shtml,"Tuesday, September 20, 2016",,: 2:58,"Night Game, on grass",Chicago Cubs,1,11,6,"<!--  
    
Umpires: HP - Ed Hickox, 1B - John Tumpane, 2B - Tom Woodring, 3B - Mike Estabrook.Time of Game: 2:58.
Attendance: 40,586.
Field Condition: Unknown.
Start Time Weather: 73&deg; F, Wind 5mph in from Centerfield, Sunny.

    

-->",Start Time: 7:06 p.m. Local, Wrigley Field
20387,Boston Red Sox,0,11,5,https://www.baseball-reference.com/boxes/BAL/BAL201609200.shtml,"Tuesday, September 20, 2016",,: 3:14,"Night Game, on grass",Baltimore Orioles,0,6,2,"<!--  
    
Umpires: HP - Mike Everitt, 1B - Jordan Baker, 2B - Mark Wegner, 3B - Tim Timmons.Time of Game: 3:14.
Attendance: 20,387.
Field Condition: Unknown.
Start Time Weather: 77&deg; F, Wind 6mph in from Centerfield.

    

-->",Start Time: 7:08 p.m. Local, Oriole Park at Camden Yards
29068,Los Angeles Angels of Anaheim,0,5,2,https://www.baseball-reference.com/boxes/TEX/TEX201609190.shtml,"Monday, September 19, 2016",,: 3:00,"Night Game, on grass",Texas Rangers,1,12,3,"<!--  
    
Umpires: HP - Kerwin Danley, 1B - Pat Hoberg, 2B - Joe West, 3B - Greg Gibson.Time of Game: 3:00.
Attendance: 29,068.
Field Condition: Unknown.
Start Time Weather: 95&deg; F, Wind 6mph from Right to Left, Cloudy.

    

-->",Start Time: 7:09 p.m. Local, Globe Life Park in Arlington
34809,Toronto Blue Jays,0,8,3,https://www.baseball-reference.com/boxes/SEA/SEA201609190.shtml,"Monday, September 19, 2016",,: 3:03,"Night Game, on grass",Seattle Mariners,0,3,2,"<!--  
    
Umpires: HP - Chris Conroy, 1B - Paul Nauert, 2B - Mark Ripperger, 3B - Jerry Meals.Time of Game: 3:03.
Attendance: 34,809.
Field Condition: Unknown.
Start Time Weather: 64&deg; F, Wind 1mph in unknown direction.

    

-->",Start Time: 7:10 p.m. Local, Safeco Field
20250,Arizona Diamondbacks,1,7,2,https://www.baseball-reference.com/boxes/SDN/SDN201609190.shtml,"Monday, September 19, 2016",,: 2:46,"Night Game, on grass",San Diego Padres,0,8,3,"<!--  
    
Umpires: HP - Larry Vanover, 1B - David Rackley, 2B - Chad Whitson, 3B - Alfonso Marquez.Time of Game: 2:46.
Attendance: 20,250.
Field Condition: Unknown.
Start Time Weather: 73&deg; F, Wind 6mph in unknown direction, Cloudy.

    

-->",Start Time: 7:10 p.m. Local, Petco Park
10072,Houston Astros,0,7,4,https://www.baseball-reference.com/boxes/OAK/OAK201609190.shtml,"Monday, September 19, 2016",,: 2:41,"Night Game, on grass",Oakland Athletics,0,3,2,"<!--  
    
Umpires: HP - Mike Winters, 1B - Marty Foster, 2B - Clint Fagan, 3B - Mike Muchlinski.Time of Game: 2:41.
Attendance: 10,072.
Field Condition: Unknown.
Start Time Weather: 73&deg; F, Wind 13mph out to Rightfield, Sunny.

    

-->",Start Time: 7:06 p.m. Local, Oakland-Alameda County Coliseum
29665,Atlanta Braves,0,13,7,https://www.baseball-reference.com/boxes/NYN/NYN201609190.shtml,"Monday, September 19, 2016",,: 3:11,"Night Game, on grass",New York Mets,0,8,3,"<!--  
    
Umpires: HP - Bill Miller, 1B - Tony Randazzo, 2B - Chris Segal, 3B - Brian Knight.Time of Game: 3:11.
Attendance: 29,665.
Field Condition: Unknown.
Start Time Weather: 73&deg; F, Wind 3mph out to Leftfield.

    

-->",Start Time: 7:10 p.m. Local, Citi Field
17214,Washington Nationals,2,9,3,https://www.baseball-reference.com/boxes/MIA/MIA201609190.shtml,"Monday, September 19, 2016",,: 2:50,"Night Game, on grass",Miami Marlins,1,7,4,"<!--  
    
Umpires: HP - Dan Bellino, 1B - Phil Cuzzi, 2B - Stu Scheurwater, 3B - Tom Hallion.Time of Game: 2:50.
Attendance: 17,214.
Start Time Weather: 80&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 7:11 p.m. Local, Marlins Park
43435,San Francisco Giants,0,3,1,https://www.baseball-reference.com/boxes/LAN/LAN201609190.shtml,"Monday, September 19, 2016",,: 2:58,"Night Game, on grass",Los Angeles Dodgers,1,6,2,"<!--  
    
Umpires: HP - Jim Reynolds, 1B - Fieldin Culbreth, 2B - Manny Gonzalez, 3B - CB Bucknor.Time of Game: 2:58.
Attendance: 43,435.
Field Condition: Unknown.
Start Time Weather: 77&deg; F, Wind 2mph out to Leftfield.

    

-->",Start Time: 7:10 p.m. Local, Dodger Stadium
31502,Chicago White Sox,1,9,3,https://www.baseball-reference.com/boxes/KCA/KCA201609190.shtml,"Monday, September 19, 2016",,: 2:35,"Day Game, on grass",Kansas City Royals,0,12,8,"<!--  
    
Umpires: HP - Toby Basner, 1B - Tripp Gibson, 2B - Jerry Layne, 3B - Hunter Wendelstedt.Time of Game: 2:35.
Attendance: 31,502.
Field Condition: Unknown.
Start Time Weather: 88&deg; F, Wind 11mph from Right to Left, Sunny.

    

-->",Start Time: 1:17 p.m. Local, Kauffman Stadium
26783,St. Louis Cardinals,0,11,5,https://www.baseball-reference.com/boxes/COL/COL201609190.shtml,"Monday, September 19, 2016",,: 3:01,"Night Game, on grass",Colorado Rockies,1,8,3,"<!--  
    
Umpires: HP - Jim Wolf, 1B - Jim Joyce, 2B - Chad Fairchild, 3B - James Hoye.Time of Game: 3:01.
Attendance: 26,783.
Field Condition: Unknown.
Start Time Weather: 88&deg; F, Wind 3mph out to Leftfield, Sunny.

    

-->",Start Time: 6:41 p.m. Local, Coors Field
39251,Cincinnati Reds,0,6,2,https://www.baseball-reference.com/boxes/CHN/CHN201609190.shtml,"Monday, September 19, 2016",,: 2:42,"Night Game, on grass",Chicago Cubs,1,9,5,"<!--  
    
Umpires: HP - Mike Estabrook, 1B - Ed Hickox, 2B - Dana DeMuth, 3B - Andy Fletcher.Time of Game: 2:42.
Attendance: 39,251.
Field Condition: Unknown.
Start Time Weather: 84&deg; F, Wind 7mph out to Centerfield, Overcast.

    

-->",Start Time: 7:06 p.m. Local, Wrigley Field
18456,Boston Red Sox,0,9,5,https://www.baseball-reference.com/boxes/BAL/BAL201609190.shtml,"Monday, September 19, 2016",,: 2:33,"Night Game, on grass",Baltimore Orioles,1,4,2,"<!--  
    
Umpires: HP - Tim Timmons, 1B - Mike Everitt, 2B - Jordan Baker, 3B - Mark Wegner.Time of Game: 2:33.
Attendance: 18,456.
Field Condition: Unknown.
Start Time Weather: 72&deg; F, Wind 2mph out to Leftfield, Cloudy.

    

-->",Start Time: 7:07 p.m. Local, Oriole Park at Camden Yards
41324,St. Louis Cardinals,2,9,3,https://www.baseball-reference.com/boxes/SFN/SFN201609180.shtml,"Sunday, September 18, 2016",,: 2:49,"Day Game, on grass",San Francisco Giants,0,5,0,"<!--  
    
Umpires: HP - Brian O'Nora, 1B - Doug Eddings, 2B - Laz Diaz, 3B - Cory Blaser.Time of Game: 2:49.
Attendance: 41,324.
Field Condition: Unknown.
Start Time Weather: 82&deg; F, Wind 6mph out to Centerfield, Sunny.

    

-->",Start Time: 1:07 p.m. Local, AT&T Park
25383,Houston Astros,0,5,3,https://www.baseball-reference.com/boxes/SEA/SEA201609180.shtml,"Sunday, September 18, 2016",,: 2:33,"Day Game, on grass",Seattle Mariners,0,12,7,"<!--  
    
Umpires: HP - Alfonso Marquez, 1B - David Rackley, 2B - Chris Guccione, 3B - Paul Emmel.Time of Game: 2:33.
Attendance: 25,383.
Field Condition: Unknown.
Start Time Weather: 63&deg; F, Wind 1mph in unknown direction, Cloudy.

    

-->",Start Time: 1:10 p.m. Local, Safeco Field
20059,Miami Marlins,0,8,5,https://www.baseball-reference.com/boxes/PHI/PHI201609180.shtml,"Sunday, September 18, 2016",,: 3:16,"Day Game, on grass",Philadelphia Phillies,2,8,4,"<!--  
    
Umpires: HP - Dale Scott, 1B - Bob Davidson, 2B - Dan Iassogna, 3B - Lance Barrett.Time of Game: 3:16.
Attendance: 20,059.
Field Condition: Unknown.
Start Time Weather: 84&deg; F, Wind 8mph out to Rightfield.

    

-->",Start Time: 1:37 p.m. Local, Citizens Bank Park
28926,Minnesota Twins,1,8,2,https://www.baseball-reference.com/boxes/NYN/NYN201609180.shtml,"Sunday, September 18, 2016",,: 2:58,"Day Game, on grass",New York Mets,0,7,3,"<!--  
    
Umpires: HP - Ramon De Jesus, 1B - Mike DiMuro, 2B - Quinn Wolcott, 3B - Brian Gorman.Time of Game: 2:58.
Attendance: 28,926.
Field Condition: Unknown.
Start Time Weather: 82&deg; F, Wind 12mph out to Centerfield.

    

-->",Start Time: 1:12 p.m. Local, Citi Field
34982,Chicago White Sox,1,11,3,https://www.baseball-reference.com/boxes/KCA/KCA201609180.shtml,"Sunday, September 18, 2016",,: 3:04,"Day Game, on grass",Kansas City Royals,0,12,10,"<!--  
    
Umpires: HP - Hunter Wendelstedt, 1B - Toby Basner, 2B - Tripp Gibson, 3B - Jerry Layne.Time of Game: 3:04.
Attendance: 34,982.
Field Condition: Unknown.
Start Time Weather: 81&deg; F, Wind 10mph from Right to Left, Sunny.

    

-->",Start Time: 1:17 p.m. Local, Kauffman Stadium
25811,San Diego Padres,0,6,3,https://www.baseball-reference.com/boxes/COL/COL201609180.shtml,"Sunday, September 18, 2016",,: 3:20,"Day Game, on grass",Colorado Rockies,1,10,6,"<!--  
    
Umpires: HP - Adam Hamari, 1B - Mike Estabrook, 2B - Greg Gibson, 3B - Dana DeMuth.Time of Game: 3:20.
Attendance: 25,811.
Field Condition: Unknown.
Start Time Weather: 85&deg; F, Wind 4mph from Right to Left, Sunny.

    

-->",Start Time: 2:10 p.m. Local, Coors Field
21382,Detroit Tigers,2,11,9,https://www.baseball-reference.com/boxes/CLE/CLE201609180.shtml,"Sunday, September 18, 2016",,: 3:38,"Day Game, on grass",Cleveland Indians,0,7,5,"<!--  
    
Umpires: HP - Jordan Baker, 1B - Pat Hoberg, 2B - Tim Timmons, 3B - Mike Everitt.Time of Game: 3:38.
Attendance: 21,382.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 4mph in from Leftfield, Cloudy.

    

-->",Start Time: 1:11 p.m. Local, Progressive Field
19597,Pittsburgh Pirates,1,7,4,https://www.baseball-reference.com/boxes/CIN/CIN201609180.shtml,"Sunday, September 18, 2016",,: 2:52,"Day Game, on grass",Cincinnati Reds,2,14,7,"<!--  
    
Umpires: HP - Scott Barry, 1B - Gerry Davis, 2B - Sam Holbrook, 3B - Carlos Torres.Time of Game: 2:52.
Attendance: 19,597.
Field Condition: Unknown.
Start Time Weather: 79&deg; F, Wind 5mph in unknown direction, Cloudy.

    

-->",Start Time: 1:10 p.m. Local, Great American Ball Park
41286,Milwaukee Brewers,0,7,3,https://www.baseball-reference.com/boxes/CHN/CHN201609180.shtml,"Sunday, September 18, 2016",,: 2:37,"Day Game, on grass",Chicago Cubs,0,9,1,"<!--  
    
Umpires: HP - Ted Barrett, 1B - Will Little, 2B - Lance Barksdale, 3B - Angel Hernandez.Time of Game: 2:37.
Attendance: 41,286.
Field Condition: Unknown.
Start Time Weather: 69&deg; F, Wind 11mph out to Leftfield, Cloudy.

    

-->",Start Time: 1:20 p.m. Local, Wrigley Field
37306,New York Yankees,1,11,4,https://www.baseball-reference.com/boxes/BOS/BOS201609180.shtml,"Sunday, September 18, 2016",,: 3:31,"Night Game, on grass",Boston Red Sox,0,10,5,"<!--  
    
Umpires: HP - Vic Carapazza, 1B - John Hirschbeck, 2B - D.J. Reyburn, 3B - Bill Welke.Time of Game: 3:31.
Attendance: 37,306.
Field Condition: Unknown.
Start Time Weather: 78&deg; F, Wind 8mph out to Centerfield.

    

-->",Start Time: 8:11 p.m. Local, Fenway Park
28427,Tampa Bay Rays,1,6,1,https://www.baseball-reference.com/boxes/BAL/BAL201609180.shtml,"Sunday, September 18, 2016",,: 3:01,"Day Game, on grass",Baltimore Orioles,0,8,2,"<!--  
    
Umpires: HP - Eric Cooper, 1B - Jim Wolf, 2B - Adrian Johnson, 3B - Gary Cederstrom.Time of Game: 3:01.
Attendance: 28,427.
Field Condition: Unknown.
Start Time Weather: 83&deg; F, Wind 7mph out to Centerfield.

    

-->",Start Time: 1:38 p.m. Local, Oriole Park at Camden Yards
37296,Washington Nationals,0,7,2,https://www.baseball-reference.com/boxes/ATL/ATL201609180.shtml,"Sunday, September 18, 2016",,: 2:36,"Day Game, on grass",Atlanta Braves,0,12,6,"<!--  
    
Umpires: HP - Andy Fletcher, 1B - Kerwin Danley, 2B - Mark Ripperger, 3B - Joe West.Time of Game: 2:36.
Attendance: 37,296.
Field Condition: Unknown.
Start Time Weather: 75&deg; F, Wind 5mph from Right to Left, Overcast.

    

-->",Start Time: 1:36 p.m. Local, Turner Field
26159,Los Angeles Dodgers,1,10,9,https://www.baseball-reference.com/boxes/ARI/ARI201609180.shtml,"Sunday, September 18, 2016",,: 4:29,"Day Game, on grass",Arizona Diamondbacks,0,16,10,"<!--  
    
Umpires: HP - Ryan Blakney, 1B - Ron Kulpa, 2B - Chris Conroy, 3B - Jerry Meals.Time of Game: 4:29.
Attendance: 26,159.
Start Time Weather: 73&deg; F, Wind 0mph, In Dome.

    

-->",Start Time: 1:10 p.m. Local, Chase Field
36270,Toronto Blue Jays,1,4,0,https://www.baseball-reference.com/boxes/ANA/ANA201609180.shtml,"Sunday, September 18, 2016",,: 3:25,"Day Game, on grass",Los Angeles Angels of Anaheim,0,10,4,"<!--  
    
Umpires: HP - CB Bucknor, 1B - Jim Reynolds, 2B - Fieldin Culbreth, 3B - Manny Gonzalez.Time of Game: 3:25.
Attendance: 36,270.
Field Condition: Unknown.
Start Time Weather: 84&deg; F, Wind 6mph from Right to Left, Sunny.

    

-->",Start Time: 12:37 p.m. Local, Angel Stadium of Anaheim
39691,Oakland Athletics,0,12,11,https://www.baseball-reference.com/boxes/TEX/TEX201609170.shtml,"Saturday, September 17, 2016",,: 2:52,"Night Game, on grass",Texas Rangers,0,6,2,"<!--  
    
Umpires: HP - John Tumpane, 1B - Alan Porter, 2B - Gabe Morales, 3B - Jeff Kellogg.Time of Game: 2:52.
Attendance: 39,691.
Field Condition: Unknown.
Start Time Weather: 92&deg; F, Wind 6mph from Left to Right, Sunny.

    

-->",Start Time: 7:07 p.m. Local, Globe Life Park in Arlington
