attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue
24749.0,Detroit Tigers,0,14,6,https://www.baseball-reference.com/boxes/MIN/MIN201605010.shtml,"Sunday, May 1, 2016",,: 3:33,"Day Game, on grass",Minnesota Twins,0,11,5,Start Time: 1:11 p.m. Local, Target Field
28181.0,Miami Marlins,1,16,5,https://www.baseball-reference.com/boxes/MIL/MIL201605010.shtml,"Sunday, May 1, 2016",,: 3:21,"Day Game, on grass",Milwaukee Brewers,0,18,14,Start Time: 1:11 p.m. Local, Miller Park
49271.0,San Diego Padres,1,3,0,https://www.baseball-reference.com/boxes/LAN/LAN201605010.shtml,"Sunday, May 1, 2016",,: 2:07,"Day Game, on grass",Los Angeles Dodgers,0,3,1,Start Time: 1:10 p.m. Local, Dodger Stadium
40164.0,Atlanta Braves,1,5,4,https://www.baseball-reference.com/boxes/CHN/CHN201605010.shtml,"Sunday, May 1, 2016",,: 3:04,"Day Game, on grass",Chicago Cubs,1,6,3,Start Time: 1:21 p.m. Local, Wrigley Field
34279.0,New York Yankees,2,9,7,https://www.baseball-reference.com/boxes/BOS/BOS201605010.shtml,"Sunday, May 1, 2016",,: 3:17,"Night Game, on grass",Boston Red Sox,0,14,8,Start Time: 8:09 p.m. Local, Fenway Park
40087.0,Philadelphia Phillies,0,5,1,https://www.baseball-reference.com/boxes/SLN/SLN201605030.shtml,"Tuesday, May 3, 2016",,: 2:31,"Night Game, on grass",St. Louis Cardinals,0,3,0,Start Time: 7:15 p.m. Local, Busch Stadium III
42338.0,Pittsburgh Pirates,0,11,4,https://www.baseball-reference.com/boxes/SLN/SLN201605070.shtml,"Saturday, May 7, 2016",,: 3:23,"Day Game, on grass",St. Louis Cardinals,1,9,6,Start Time: 1:16 p.m. Local, Busch Stadium III
41590.0,Colorado Rockies,0,12,1,https://www.baseball-reference.com/boxes/SFN/SFN201605070.shtml,"Saturday, May 7, 2016",,: 4:20,"Day Game, on grass",San Francisco Giants,0,7,2,Start Time: 1:05 p.m. Local, AT&T Park
41028.0,New York Mets,0,9,6,https://www.baseball-reference.com/boxes/SDN/SDN201605070.shtml,"Saturday, May 7, 2016",,: 2:52,"Night Game, on grass",San Diego Padres,0,8,3,Start Time: 5:41 p.m. Local, Petco Park
47822.0,Boston Red Sox,0,6,2,https://www.baseball-reference.com/boxes/NYA/NYA201605070.shtml,"Saturday, May 7, 2016",,: 3:09,"Day Game, on grass",New York Yankees,1,11,8,Start Time: 1:08 p.m. Local, Yankee Stadium III
