attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,week_day,year,fiedl_type
46716.0,St. Louis Cardinals,4,9,4,May 13, 301,Night Game,Los Angeles Dodgers,1,11,8, 7:10pm, Dodger Stadium,Friday,2016,on grass
33132.0,Atlanta Braves,2,7,1,May 13, 245,Night Game,Kansas City Royals,1,7,5, 7:15pm, Kauffman Stadium,Friday,2016,on grass
38712.0,New York Mets,0,6,2,May 13, 248,Night Game,Colorado Rockies,0,12,5, 6:42pm, Coors Field,Friday,2016,on grass
17803.0,Minnesota Twins,1,8,6,May 13, 307,Night Game,Cleveland Indians,2,8,7, 7:10pm, Progressive Field,Friday,2016,on grass
37479.0,Pittsburgh Pirates,0,11,4,May 13, 255,Day Game,Chicago Cubs,1,11,9, 1:20pm, Wrigley Field,Friday,2016,on grass
33148.0,Houston Astros,0,13,7,May 13, 349,Night Game,Boston Red Sox,0,11,6, 7:10pm, Fenway Park,Friday,2016,on grass
30488.0,Detroit Tigers,0,6,0,May 13, 239,Night Game,Baltimore Orioles,0,4,1, 7:07pm, Oriole Park at Camden Yards,Friday,2016,on grass
27869.0,Cincinnati Reds,1,14,9,May 15, 352,Day Game,Philadelphia Phillies,2,12,4, 1:39pm, Citizens Bank Park,Sunday,2016,on grass
27257.0,Atlanta Braves,0,8,7,May 20, 300,Night Game,Philadelphia Phillies,2,6,1, 7:07pm, Citizens Bank Park,Friday,2016,on grass
28235.0,New York Yankees,1,13,8,May 20, 313,Night Game,Oakland Athletics,3,6,3, 6:38pm, Oakland-Alameda County Coliseum,Friday,2016,on grass
36239.0,Milwaukee Brewers,0,3,2,May 20, 231,Night Game,New York Mets,0,7,3, 7:11pm, Citi Field,Friday,2016,on grass
29396.0,Toronto Blue Jays,2,14,9,May 20, 248,Night Game,Minnesota Twins,0,10,3, 7:11pm, Target Field,Friday,2016,on grass
20017.0,Washington Nationals,0,8,4,May 20, 253,Night Game,Miami Marlins,0,9,1, 7:11pm, Marlins Park,Friday,2016,on grass
28724.0,Texas Rangers,0,5,2,May 20, 233,Night Game,Houston Astros,0,6,1, 7:11pm, Minute Maid Park,Friday,2016,on grass
30304.0,Tampa Bay Rays,2,8,7,May 20, 326,Night Game,Detroit Tigers,1,11,5, 7:10pm, Comerica Park,Friday,2016,on grass
20435.0,Seattle Mariners,0,10,8,May 20, 310,Night Game,Cincinnati Reds,0,8,3, 7:55pm, Great American Ball Park,Friday,2016,on grass
24020.0,Kansas City Royals,1,12,4,May 20, 259,Night Game,Chicago White Sox,1,6,1, 7:11pm, U.S. Cellular Field,Friday,2016,on grass
37354.0,Cleveland Indians,1,8,4,May 20, 307,Night Game,Boston Red Sox,1,6,2, 7:11pm, Fenway Park,Friday,2016,on grass
40987.0,Baltimore Orioles,1,14,9,May 20, 320,Night Game,Los Angeles Angels of Anaheim,1,7,4, 7:08pm, Angel Stadium of Anaheim,Friday,2016,on grass
43683.0,Colorado Rockies,0,9,7,May 19, 316,Night Game,St. Louis Cardinals,0,12,13, 6:16pm, Busch Stadium III,Thursday,2016,on grass
41280.0,Baltimore Orioles,1,5,2,May 22, 233,Day Game,Los Angeles Angels of Anaheim,0,13,10, 12:39pm, Angel Stadium of Anaheim,Sunday,2016,on grass
26176.0,St. Louis Cardinals,0,6,1,May 26, 227,Night Game,Washington Nationals,1,7,2, 7:05pm, Nationals Park,Thursday,2016,on grass
11399.0,Miami Marlins,0,15,9,May 26, 251,Day Game,Tampa Bay Rays,1,7,1, 1:10pm, Tropicana Field,Thursday,2016,on turf
30861.0,Arizona Diamondbacks,1,13,3,May 26, 340,Day Game,Pittsburgh Pirates,1,12,8, 12:39pm, PNC Park,Thursday,2016,on grass
38391.0,Toronto Blue Jays,0,6,3,May 26, 234,Day Game,New York Yankees,1,4,1, 4:07pm, Yankee Stadium III,Thursday,2016,on grass
23826.0,Baltimore Orioles,1,5,2,May 26, 303,Night Game,Houston Astros,1,6,4, 7:10pm, Minute Maid Park,Thursday,2016,on grass
36162.0,Colorado Rockies,0,12,8,May 26, 251,Night Game,Boston Red Sox,1,6,2, 7:12pm, Fenway Park,Thursday,2016,on grass
14885.0,Milwaukee Brewers,0,10,6,May 26, 305,Night Game,Atlanta Braves,0,8,2, 7:10pm, Turner Field,Thursday,2016,on grass
38700.0,New York Mets,0,5,2,May 25, 238,Day Game,Washington Nationals,2,6,0, 1:05pm, Nationals Park,Wednesday,2016,on grass
32480.0,Los Angeles Angels of Anaheim,2,14,9,May 25, 334,Day Game,Texas Rangers,0,18,15, 1:08pm, Globe Life Park in Arlington,Wednesday,2016,on grass
